code,type,subtype,importance,identifier,other,message,moreInfo,context
_COUNT,__count.subtotal.advisory,\N,ADVISORY,294,\N,ADVISORY count: 294,\N,\N
_COUNT,__count.subtotal.critical,\N,CRITICAL,101,\N,CRITICAL count: 101,\N,\N
_COUNT,__count.subtotal.info,\N,INFO,110,\N,INFO count: 110,\N,\N
_COUNT,__count.subtotal.major,\N,MAJOR,31,\N,MAJOR count: 31,\N,\N
_COUNT,__count.total,\N,\N,536,\N,Total count: 536,\N,\N
_COUNT_ASO,_count.aem.system.overview,aem.product,INFO,2,\N,Count: 2,\N,\N
_COUNT_ASO,_count.aem.system.overview,aem.version,INFO,1,\N,Count: 1,\N,\N
_COUNT_ASO,_count.aem.system.overview,ccom.version,INFO,1,\N,Count: 1,\N,\N
_COUNT_ASO,_count.aem.system.overview,cqtag.count,INFO,1,\N,Count: 1,\N,\N
_COUNT_ASO,_count.aem.system.overview,data.store,INFO,1,\N,Count: 1,\N,\N
_COUNT_ASO,_count.aem.system.overview,group.membership,INFO,77,\N,Count: 77,\N,\N
_COUNT_ASO,_count.aem.system.overview,instance.type,INFO,1,\N,Count: 1,\N,\N
_COUNT_ASO,_count.aem.system.overview,node.count,INFO,4,\N,Count: 4,\N,\N
_COUNT_ASO,_count.aem.system.overview,node.store,INFO,1,\N,Count: 1,\N,\N
_COUNT_ASO,_count.aem.system.overview,smarttag.count,INFO,1,\N,Count: 1,\N,\N
_COUNT_ACV,_count.assets.health,missing.jcrcontent,MAJOR,3,\N,Count: 3,\N,\N
_COUNT_ACV,_count.assets.health,missing.original.rendition,CRITICAL,41,\N,Count: 41,\N,\N
_COUNT_CIF,_count.commerce.integration.framework,commerce.integration.framework.detected,CRITICAL,3,\N,Count: 3,\N,\N
_COUNT_CAV,_count.content.area.violation,\N,MAJOR,1,\N,Count: 1,\N,\N
_COUNT_CCOM,_count.custom.component,custom.foundation,INFO,9,\N,Count: 9,\N,\N
_COUNT_CCOM,_count.custom.component,custom,INFO,3,\N,Count: 3,\N,\N
_COUNT_CTEM,_count.custom.template,custom.editable.template,INFO,2,\N,Count: 2,\N,\N
_COUNT_CTEM,_count.custom.template,custom.static.template,INFO,1,\N,Count: 1,\N,\N
_COUNT_DG,_count.development.guideline,java.io.inputstream,ADVISORY,175,\N,Count: 175,\N,\N
_COUNT_INST,_count.installed.artifact,custom.bundle,INFO,5,\N,Count: 5,\N,\N
_COUNT_LUI,_count.legacy.user.interface,legacy.custom.component,MAJOR,15,\N,Count: 15,\N,\N
_COUNT_LUI,_count.legacy.user.interface,legacy.dialog.classic,CRITICAL,18,\N,Count: 18,\N,\N
_COUNT_LUI,_count.legacy.user.interface,legacy.dialog.coral2,MAJOR,4,\N,Count: 4,\N,\N
_COUNT_LUI,_count.legacy.user.interface,legacy.static.template,MAJOR,2,\N,Count: 2,\N,\N
_COUNT_NCC,_count.non.compatible.changes,non.compatible.code,CRITICAL,11,\N,Count: 11,\N,\N
_COUNT_NCC,_count.non.compatible.changes,non.compatible.content,CRITICAL,26,\N,Count: 26,\N,\N
_COUNT_OID,_count.oak.index.definition,standard.index.modification,CRITICAL,1,\N,Count: 1,\N,\N
_COUNT_PCX,_count.page.complexity,page.complexity.medium,MAJOR,1,\N,Count: 1,\N,\N
_COUNT_REP,_count.replication.agent,forward.replication,MAJOR,4,\N,Count: 4,\N,\N
_COUNT_REP,_count.replication.agent,reverse.replication,CRITICAL,1,\N,Count: 1,\N,\N
_COUNT_URS,_count.unsupported.repository.structure,node.location,ADVISORY,119,\N,Count: 119,\N,\N
_COUNT_UMI,_count.upgrade.misconfiguration.issue,\N,MAJOR,1,\N,Count: 1,\N,\N
_STAT,_report.statistics,\N,INFO,Report date 2022-04-27T13:12:52Z,Generation Time Period: 0 hr 00 min 59 sec,Report date 2022-04-27T13:12:52Z; 59094 milliseconds,\N,"{""type"":""statistics"",""data"":{""reportDate"":""2022-04-27T13:12:52Z"",""reportTime"":1651065172485,""elapsedTimeMilliseconds"":59094,""expirationDate"":""2022-04-28T13:12:52Z"",""expirationTime"":1651151572485,""host"":""192.168.11.141:4502"",""bundleVersion"":""2.0.0""}}"
ASO,aem.system.overview,aem.product,INFO,cq-dam-cfm-graphql,Assets,A reference to the AEM Assets API has been detected.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""product"":""Assets""},""type"":""aem.product""}"
ASO,aem.system.overview,aem.product,INFO,cq-dam-cfm-graphql,Sites,A reference to the AEM Sites API has been detected.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""product"":""Sites""},""type"":""aem.product""}"
ASO,aem.system.overview,aem.version,INFO,\N,\N,The AEM version is 6.5.12.0.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""version"":""6.5.12.0""},""type"":""aem.version""}"
ASO,aem.system.overview,ccom.version,INFO,\N,\N,The Core Component version is 2.3.2.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""version"":""2.3.2""},""type"":""ccom.version""}"
